26-01-2016 11:32:22	Main		TRACE	Logger initialized.
26-01-2016 11:32:22	PropertyReader		TRACE	Opening file: settings/settings.txt
26-01-2016 11:32:22	PropertyReader		INFO	File opened: settings/settings.txt
26-01-2016 11:32:22	PropertyReader		INFO	Loading properties file...
26-01-2016 11:32:22	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
26-01-2016 11:32:22	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
26-01-2016 11:32:22	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
26-01-2016 11:32:22	PropertyReader		INFO	Mapped 0 to CAM_INDEX
26-01-2016 11:32:22	PropertyReader		DEBUG	Loaded 4 properties successfully
26-01-2016 11:32:22	Transmitter		INFO	socket retrieve success
26-01-2016 11:34:10	Controller		INFO	Initializing Controller
26-01-2016 11:34:10	CameraInterface		INFO	Initializing camera
26-01-2016 11:34:10	CameraInterface		INFO	Opening video capture stream at position 0
26-01-2016 11:34:10	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 11:34:10	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 11:34:10	ControllerThread		INFO	Starting Controller Thread execution loop
26-01-2016 11:34:10	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 11:34:10	ControllerThread		INFO	Starting Controller Thread execution loop
26-01-2016 11:34:10	Receiver		INFO	Starting Receiver Thread execution loop
26-01-2016 11:34:11	CameraInterface		INFO	Read successful
26-01-2016 11:34:11	CameraInterface		INFO	Read successful
26-01-2016 11:34:11	CameraInterface		INFO	Read successful
26-01-2016 11:34:12	CameraInterface		INFO	Read successful
26-01-2016 11:34:12	CameraInterface		INFO	Read successful
26-01-2016 11:34:12	CameraInterface		INFO	Read successful
26-01-2016 11:34:12	CameraInterface		INFO	Read successful
26-01-2016 11:34:12	CameraInterface		INFO	Read successful
26-01-2016 11:34:13	CameraInterface		INFO	Read successful
26-01-2016 11:34:13	CameraInterface		INFO	Read successful
26-01-2016 11:34:13	CameraInterface		INFO	Read successful
26-01-2016 11:34:13	CameraInterface		INFO	Read successful
26-01-2016 11:34:13	CameraInterface		INFO	Read successful
26-01-2016 11:34:13	CameraInterface		INFO	Read successful
26-01-2016 11:34:14	CameraInterface		INFO	Read successful
26-01-2016 11:34:14	CameraInterface		INFO	Read successful
26-01-2016 11:34:14	CameraInterface		INFO	Read successful
26-01-2016 11:34:14	CameraInterface		INFO	Read successful
26-01-2016 11:34:14	CameraInterface		INFO	Read successful
26-01-2016 11:34:15	CameraInterface		INFO	Read successful
26-01-2016 11:34:15	CameraInterface		INFO	Read successful
26-01-2016 11:34:15	CameraInterface		INFO	Read successful
26-01-2016 11:34:15	CameraInterface		INFO	Read successful
26-01-2016 11:34:15	CameraInterface		INFO	Read successful
26-01-2016 11:34:16	CameraInterface		INFO	Read successful
26-01-2016 11:34:16	CameraInterface		INFO	Read successful
26-01-2016 11:34:16	CameraInterface		INFO	Read successful
26-01-2016 11:34:16	CameraInterface		INFO	Read successful
26-01-2016 11:34:16	CameraInterface		INFO	Read successful
26-01-2016 11:34:17	CameraInterface		INFO	Read successful
26-01-2016 11:34:17	CameraInterface		INFO	Read successful
26-01-2016 11:34:17	CameraInterface		INFO	Read successful
26-01-2016 11:34:17	CameraInterface		INFO	Read successful
26-01-2016 11:34:17	CameraInterface		INFO	Read successful
26-01-2016 11:34:18	CameraInterface		INFO	Read successful
26-01-2016 11:34:18	CameraInterface		INFO	Read successful
26-01-2016 11:34:18	CameraInterface		INFO	Read successful
26-01-2016 11:34:18	CameraInterface		INFO	Read successful
26-01-2016 11:34:18	CameraInterface		INFO	Read successful
26-01-2016 11:34:19	CameraInterface		INFO	Read successful
26-01-2016 11:34:19	CameraInterface		INFO	Read successful
26-01-2016 11:34:19	CameraInterface		INFO	Read successful
26-01-2016 11:34:19	CameraInterface		INFO	Read successful
26-01-2016 11:34:19	CameraInterface		INFO	Read successful
26-01-2016 11:34:19	CameraInterface		INFO	Read successful
26-01-2016 11:34:20	CameraInterface		INFO	Read successful
26-01-2016 11:34:20	CameraInterface		INFO	Read successful
26-01-2016 11:34:20	CameraInterface		INFO	Read successful
26-01-2016 11:34:20	CameraInterface		INFO	Read successful
26-01-2016 11:34:20	CameraInterface		INFO	Read successful
26-01-2016 11:34:21	CameraInterface		INFO	Read successful
26-01-2016 11:34:21	CameraInterface		INFO	Read successful
26-01-2016 11:34:21	CameraInterface		INFO	Read successful
26-01-2016 11:34:21	CameraInterface		INFO	Read successful
26-01-2016 11:34:21	CameraInterface		INFO	Read successful
26-01-2016 11:34:22	CameraInterface		INFO	Read successful
26-01-2016 11:34:22	CameraInterface		INFO	Read successful
26-01-2016 11:34:22	CameraInterface		INFO	Read successful
26-01-2016 11:34:22	CameraInterface		INFO	Read successful
26-01-2016 11:34:22	CameraInterface		INFO	Read successful
26-01-2016 11:34:23	CameraInterface		INFO	Read successful
26-01-2016 11:34:23	CameraInterface		INFO	Read successful
26-01-2016 11:34:23	CameraInterface		INFO	Read successful
26-01-2016 11:34:23	CameraInterface		INFO	Read successful
26-01-2016 11:34:23	CameraInterface		INFO	Read successful
26-01-2016 11:34:24	CameraInterface		INFO	Read successful
26-01-2016 11:34:24	CameraInterface		INFO	Read successful
26-01-2016 11:34:24	CameraInterface		INFO	Read successful
26-01-2016 11:34:24	CameraInterface		INFO	Read successful
26-01-2016 11:34:24	CameraInterface		INFO	Read successful
26-01-2016 11:34:25	CameraInterface		INFO	Read successful
26-01-2016 11:34:25	CameraInterface		INFO	Read successful
26-01-2016 11:34:25	CameraInterface		INFO	Read successful
26-01-2016 11:34:25	CameraInterface		INFO	Read successful
26-01-2016 11:34:25	CameraInterface		INFO	Read successful
26-01-2016 11:34:26	CameraInterface		INFO	Read successful
26-01-2016 11:34:26	CameraInterface		INFO	Read successful
26-01-2016 11:34:26	CameraInterface		INFO	Read successful
26-01-2016 11:34:26	CameraInterface		INFO	Read successful
26-01-2016 11:34:27	CameraInterface		INFO	Read successful
26-01-2016 11:34:27	CameraInterface		INFO	Read successful
26-01-2016 11:34:27	CameraInterface		INFO	Read successful
26-01-2016 11:34:27	CameraInterface		INFO	Read successful
26-01-2016 11:34:27	CameraInterface		INFO	Read successful
26-01-2016 11:34:28	CameraInterface		INFO	Read successful
26-01-2016 11:34:28	CameraInterface		INFO	Read successful
26-01-2016 11:34:28	CameraInterface		INFO	Read successful
26-01-2016 11:34:28	CameraInterface		INFO	Read successful
26-01-2016 11:34:28	CameraInterface		INFO	Read successful
26-01-2016 11:34:32	CameraInterface		INFO	Read successful
26-01-2016 11:34:40	CameraInterface		INFO	Read successful
26-01-2016 11:34:40	CameraInterface		INFO	Read successful
26-01-2016 11:34:45	CameraInterface		INFO	Read successful
26-01-2016 11:34:58	CameraInterface		INFO	Read successful
26-01-2016 11:35:08	CameraInterface		INFO	Read successful
26-01-2016 11:35:08	CameraInterface		INFO	Read successful
26-01-2016 11:35:08	CameraInterface		INFO	Read successful
26-01-2016 11:35:10	CameraInterface		INFO	Read successful
26-01-2016 11:35:13	CameraInterface		INFO	Read successful
26-01-2016 11:35:17	CameraInterface		INFO	Read successful
26-01-2016 11:35:20	CameraInterface		INFO	Read successful
26-01-2016 11:35:22	CameraInterface		INFO	Read successful
26-01-2016 11:35:27	CameraInterface		INFO	Read successful
26-01-2016 11:35:32	CameraInterface		INFO	Read successful
