26-01-2016 10:38:47	Main		TRACE	Logger initialized.
26-01-2016 10:38:47	PropertyReader		TRACE	Opening file: settings/settings.txt
26-01-2016 10:38:47	PropertyReader		INFO	File opened: settings/settings.txt
26-01-2016 10:38:47	PropertyReader		INFO	Loading properties file...
26-01-2016 10:38:47	PropertyReader		INFO	Mapped INFO to LOGGING_LEVEL
26-01-2016 10:38:47	PropertyReader		INFO	Mapped 100 to CAM_BUFFER_SIZE
26-01-2016 10:38:47	PropertyReader		INFO	Mapped 15 to CAM_POLL_FREQUENCY
26-01-2016 10:38:47	PropertyReader		INFO	Mapped 0 to CAM_INDEX
26-01-2016 10:38:47	PropertyReader		DEBUG	Loaded 4 properties successfully
26-01-2016 10:38:47	Transmitter		INFO	socket retrieve success
26-01-2016 10:40:30	Controller		INFO	Initializing Controller
26-01-2016 10:40:30	CameraInterface		INFO	Initializing camera
26-01-2016 10:40:30	CameraInterface		INFO	Opening video capture stream at position 0
26-01-2016 10:40:30	Receiver		INFO	Starting Receiver Thread execution loop
26-01-2016 10:40:30	Transmitter		INFO	Starting Receiver Thread execution loop
26-01-2016 10:40:30	ControllerThread		INFO	Starting Controller Thread execution loop
26-01-2016 10:40:31	CameraInterface		INFO	Read successful
26-01-2016 10:40:31	CameraInterface		INFO	Read successful
26-01-2016 10:40:31	CameraInterface		INFO	Read successful
26-01-2016 10:40:31	CameraInterface		INFO	Read successful
26-01-2016 10:40:32	CameraInterface		INFO	Read successful
26-01-2016 10:40:32	CameraInterface		INFO	Read successful
26-01-2016 10:40:32	CameraInterface		INFO	Read successful
26-01-2016 10:40:32	CameraInterface		INFO	Read successful
26-01-2016 10:40:33	CameraInterface		INFO	Read successful
26-01-2016 10:40:33	CameraInterface		INFO	Read successful
26-01-2016 10:40:33	CameraInterface		INFO	Read successful
26-01-2016 10:40:34	CameraInterface		INFO	Read successful
26-01-2016 10:40:34	CameraInterface		INFO	Read successful
26-01-2016 10:40:34	CameraInterface		INFO	Read successful
26-01-2016 10:40:34	CameraInterface		INFO	Read successful
26-01-2016 10:40:35	CameraInterface		INFO	Read successful
26-01-2016 10:40:35	CameraInterface		INFO	Read successful
26-01-2016 10:40:35	CameraInterface		INFO	Read successful
26-01-2016 10:40:36	CameraInterface		INFO	Read successful
26-01-2016 10:40:36	CameraInterface		INFO	Read successful
26-01-2016 10:40:36	CameraInterface		INFO	Read successful
26-01-2016 10:40:37	CameraInterface		INFO	Read successful
26-01-2016 10:40:37	CameraInterface		INFO	Read successful
26-01-2016 10:40:37	CameraInterface		INFO	Read successful
26-01-2016 10:40:37	CameraInterface		INFO	Read successful
26-01-2016 10:40:38	CameraInterface		INFO	Read successful
26-01-2016 10:40:38	CameraInterface		INFO	Read successful
26-01-2016 10:40:38	CameraInterface		INFO	Read successful
26-01-2016 10:40:38	CameraInterface		INFO	Read successful
26-01-2016 10:40:38	CameraInterface		INFO	Read successful
26-01-2016 10:40:38	CameraInterface		INFO	Read successful
26-01-2016 10:40:39	CameraInterface		INFO	Read successful
26-01-2016 10:40:39	CameraInterface		INFO	Read successful
26-01-2016 10:40:39	CameraInterface		INFO	Read successful
26-01-2016 10:40:39	CameraInterface		INFO	Read successful
26-01-2016 10:40:39	CameraInterface		INFO	Read successful
26-01-2016 10:40:39	CameraInterface		INFO	Read successful
26-01-2016 10:40:39	CameraInterface		INFO	Read successful
26-01-2016 10:40:40	CameraInterface		INFO	Read successful
26-01-2016 10:40:40	CameraInterface		INFO	Read successful
26-01-2016 10:40:40	CameraInterface		INFO	Read successful
26-01-2016 10:40:40	CameraInterface		INFO	Read successful
26-01-2016 10:40:40	CameraInterface		INFO	Read successful
26-01-2016 10:40:40	CameraInterface		INFO	Read successful
26-01-2016 10:40:41	CameraInterface		INFO	Read successful
26-01-2016 10:40:41	CameraInterface		INFO	Read successful
26-01-2016 10:40:41	CameraInterface		INFO	Read successful
26-01-2016 10:40:41	CameraInterface		INFO	Read successful
26-01-2016 10:40:41	CameraInterface		INFO	Read successful
26-01-2016 10:40:41	CameraInterface		INFO	Read successful
26-01-2016 10:40:42	CameraInterface		INFO	Read successful
26-01-2016 10:40:42	CameraInterface		INFO	Read successful
26-01-2016 10:40:42	CameraInterface		INFO	Read successful
26-01-2016 10:40:42	CameraInterface		INFO	Read successful
26-01-2016 10:40:42	CameraInterface		INFO	Read successful
26-01-2016 10:40:42	CameraInterface		INFO	Read successful
26-01-2016 10:40:42	CameraInterface		INFO	Read successful
26-01-2016 10:40:43	CameraInterface		INFO	Read successful
26-01-2016 10:40:43	CameraInterface		INFO	Read successful
26-01-2016 10:40:43	CameraInterface		INFO	Read successful
26-01-2016 10:40:43	CameraInterface		INFO	Read successful
26-01-2016 10:40:43	CameraInterface		INFO	Read successful
26-01-2016 10:40:43	CameraInterface		INFO	Read successful
26-01-2016 10:40:44	CameraInterface		INFO	Read successful
26-01-2016 10:40:44	CameraInterface		INFO	Read successful
26-01-2016 10:40:44	CameraInterface		INFO	Read successful
26-01-2016 10:40:44	CameraInterface		INFO	Read successful
26-01-2016 10:40:44	CameraInterface		INFO	Read successful
26-01-2016 10:40:44	CameraInterface		INFO	Read successful
26-01-2016 10:40:45	CameraInterface		INFO	Read successful
26-01-2016 10:40:45	CameraInterface		INFO	Read successful
26-01-2016 10:40:45	CameraInterface		INFO	Read successful
26-01-2016 10:40:45	CameraInterface		INFO	Read successful
26-01-2016 10:40:45	CameraInterface		INFO	Read successful
26-01-2016 10:40:45	CameraInterface		INFO	Read successful
26-01-2016 10:40:46	CameraInterface		INFO	Read successful
26-01-2016 10:40:46	CameraInterface		INFO	Read successful
26-01-2016 10:40:46	CameraInterface		INFO	Read successful
26-01-2016 10:40:46	CameraInterface		INFO	Read successful
26-01-2016 10:40:46	CameraInterface		INFO	Read successful
26-01-2016 10:40:46	CameraInterface		INFO	Read successful
26-01-2016 10:40:47	CameraInterface		INFO	Read successful
